Palabras repetidas y sus conteos:
Palabra: 'durmiendo' - Repeticiones: 4
Palabra: 'rato' - Repeticiones: 4
Palabra: 'olvidase' - Repeticiones: 4
Palabra: 'todas' - Repeticiones: 4
Palabra: 'estas' - Repeticiones: 4
Palabra: 'locuras' - Repeticiones: 4
Palabra: 'â»' - Repeticiones: 4
Palabra: 'pero' - Repeticiones: 7
Palabra: 'posible' - Repeticiones: 4
Palabra: 'pues' - Repeticiones: 7
Palabra: 'costumbre' - Repeticiones: 4
Palabra: 'dormir' - Repeticiones: 4
Palabra: 'lado' - Repeticiones: 4
Palabra: 'derecho' - Repeticiones: 4
Palabra: 'actual' - Repeticiones: 4
Palabra: 'estado' - Repeticiones: 4
Palabra: 'permitã­a' - Repeticiones: 4
Palabra: 'adoptar' - Repeticiones: 4
Palabra: 'tal' - Repeticiones: 4
Palabra: 'postura' - Repeticiones: 4
Palabra: 'mã¡s' - Repeticiones: 4
Palabra: 'esforzara' - Repeticiones: 4
Palabra: 'volvã­a' - Repeticiones: 4
Palabra: 'quedar' - Repeticiones: 4
Palabra: 'intentã³' - Repeticiones: 7
Palabra: 'vano' - Repeticiones: 4
Palabra: 'esta' - Repeticiones: 4
Palabra: 'operaciã³n' - Repeticiones: 4
Palabra: 'veces;' - Repeticiones: 4
Palabra: 'cerrã³' - Repeticiones: 4
Palabra: 'los' - Repeticiones: 20
Palabra: 'ojos' - Repeticiones: 4
Palabra: 'para' - Repeticiones: 8
Palabra: 'tener' - Repeticiones: 4
Palabra: 'ver' - Repeticiones: 4
Palabra: 'aquella' - Repeticiones: 4
Palabra: 'confusa' - Repeticiones: 4
Palabra: 'agitaciã³n' - Repeticiones: 4
Palabra: 'cesã³' - Repeticiones: 4
Palabra: 'notã³' - Repeticiones: 4
Palabra: 'costado' - Repeticiones: 4
Palabra: 'dolor' - Repeticiones: 8
Palabra: 'leve' - Repeticiones: 4
Palabra: 'punzante' - Repeticiones: 4
Palabra: 'jamã¡s' - Repeticiones: 4
Palabra: 'sentido' - Repeticiones: 4
Palabra: 'entonces' - Repeticiones: 4
Palabra: 'â¡quã©' - Repeticiones: 4
Palabra: 'cansada' - Repeticiones: 4
Palabra: 'es' - Repeticiones: 4
Palabra: 'profesiã³n' - Repeticiones: 4
Palabra: 'he' - Repeticiones: 4
Palabra: 'elegido' - Repeticiones: 4
Palabra: '-se' - Repeticiones: 4
Palabra: 'dijo-' - Repeticiones: 4
Palabra: 'siempre' - Repeticiones: 4
Palabra: 'viaje' - Repeticiones: 4
Palabra: 'preocupaciones' - Repeticiones: 4
Palabra: 'son' - Repeticiones: 4
Palabra: 'mucho' - Repeticiones: 4
Palabra: 'mayores' - Repeticiones: 4
Palabra: 'cuando' - Repeticiones: 4
Palabra: 'trabaja' - Repeticiones: 4
Palabra: 'fuera' - Repeticiones: 4
Palabra: 'hablar' - Repeticiones: 4
Palabra: 'molestias' - Repeticiones: 4
Palabra: 'propias' - Repeticiones: 4
Palabra: 'viajes:' - Repeticiones: 4
Palabra: 'estar' - Repeticiones: 4
Palabra: 'pendiente' - Repeticiones: 4
Palabra: 'enlaces' - Repeticiones: 4
Palabra: 'trenes;' - Repeticiones: 4
Palabra: 'comida' - Repeticiones: 4
Palabra: 'mala' - Repeticiones: 4
Palabra: 'irregular;' - Repeticiones: 4
Palabra: 'relaciones' - Repeticiones: 4
Palabra: 'cambian' - Repeticiones: 4
Palabra: 'constantemente' - Repeticiones: 4
Palabra: 'nunca' - Repeticiones: 4
Palabra: 'llegan' - Repeticiones: 4
Palabra: 'ser' - Repeticiones: 4
Palabra: 'verdaderamente' - Repeticiones: 4
Palabra: 'cordiales' - Repeticiones: 4
Palabra: 'tienen' - Repeticiones: 4
Palabra: 'cabida' - Repeticiones: 4
Palabra: 'sentimientos' - Repeticiones: 4
Palabra: 'â¡al' - Repeticiones: 4
Palabra: 'diablo' - Repeticiones: 4
Palabra: 'sintiã³' - Repeticiones: 4
Palabra: 'ligera' - Repeticiones: 4
Palabra: 'picazã³n' - Repeticiones: 4
Palabra: 'lentamente' - Repeticiones: 4
Palabra: 'estirã³' - Repeticiones: 4
Palabra: 'espalda' - Repeticiones: 4
Palabra: 'direcciã³n' - Repeticiones: 4
Palabra: 'cabecera' - Repeticiones: 4
Palabra: 'cama' - Repeticiones: 4
Palabra: 'poder' - Repeticiones: 4
Palabra: 'mejor' - Repeticiones: 4
Palabra: 'sitio' - Repeticiones: 4
Palabra: 'picaba' - Repeticiones: 4
Palabra: 'cubierto' - Repeticiones: 4
Palabra: 'extraã±os' - Repeticiones: 4
Palabra: 'untitos' - Repeticiones: 4
Palabra: 'blancos' - Repeticiones: 4
Palabra: 'rascarse' - Repeticiones: 3
Palabra: 'pata;' - Repeticiones: 3
Palabra: 'tuvo' - Repeticiones: 3
Palabra: 'retirarla' - Repeticiones: 3
Palabra: 'inmediatamente' - Repeticiones: 3
Palabra: 'roce' - Repeticiones: 3
Palabra: 'producã­a' - Repeticiones: 3
Palabra: 'escalofrã­os' - Repeticiones: 3
